"","algo","approach","n","n.cova","event.prob","ttm.prob","mh_pval","clog_coef","clog_pval"
"clog_mhl1.A1.4.26.3.0.5.33","A1","mhl",20000,4,1,0.5,0.194331747261654,0.194156014440958,0.351443885743083
"clog_mhl1.A1.4.26.3.0.5.34","A1","mhl",20000,4,1,0.5,0.889664319040077,-0.232622295268753,0.260150458857022
"clog_mhl1.A1.4.26.3.0.5.35","A1","mhl",20000,4,1,0.5,0.652556698813763,-0.0800427076370707,0.689235152099447
"clog_mhl1.A1.4.26.3.0.5.36","A1","mhl",20000,4,1,0.5,0.187594276453879,0.200670695462151,0.318122222569905
"clog_mhl1.A1.4.26.3.0.5.37","A1","mhl",20000,4,1,0.5,0.192133031854478,0.174353387144778,0.404843516563162
"clog_mhl1.A1.4.26.3.0.5.38","A1","mhl",20000,4,1,0.5,0.775154101015555,-0.14058195062119,0.454066978950269
"clog_mhl1.A1.4.26.3.0.5.39","A1","mhl",20000,4,1,0.5,0.245181842546271,0.128617377822093,0.502847282576702
"clog_mhl1.A1.4.26.3.0.5.40","A1","mhl",20000,4,1,0.5,0.858474356474058,-0.204794412646013,0.313267546044893
"clog_mhl1.A1.4.26.3.0.5.41","A1","mhl",20000,4,1,0.5,0.314417145814523,0.0727593542637206,0.702979969124425
"clog_mhl1.A1.4.26.3.0.5.42","A1","mhl",20000,4,1,0.5,0.938171144798583,-0.310154928303823,0.118133023867525
"clog_mhl1.A1.4.26.3.0.5.43","A1","mhl",20000,4,1,0.5,0.382656530986071,0.0935260579024762,0.628959330755864
"clog_mhl1.A1.4.26.3.0.5.44","A1","mhl",20000,4,1,0.5,0.578489011815138,-0.0350913198111567,0.851419502354695
"clog_mhl1.A1.4.26.3.0.5.45","A1","mhl",20000,4,1,0.5,0.946979223149915,-0.257829109302099,0.166690358214939
"clog_mhl1.A1.4.26.3.0.5.46","A1","mhl",20000,4,1,0.5,0.980735939236805,-0.494018505433635,0.0194952134596782
"clog_mhl1.A1.4.26.3.0.5.47","A1","mhl",20000,4,1,0.5,0.539245436725199,-0.0215062052209596,0.917412846086168
"clog_mhl1.A1.4.26.3.0.5.48","A1","mhl",20000,4,1,0.5,0.539245436725199,0,1
"clog_mhl1.A1.4.26.3.0.5.49","A1","mhl",20000,4,1,0.5,0.382656530986071,0.0659579677823827,0.753195649717882
"clog_mhl1.A1.4.26.3.0.5.50","A1","mhl",20000,4,1,0.5,0.843788894378653,-0.189241999638528,0.332127231880106
"clog_mhl1.A1.4.26.3.0.5.51","A1","mhl",20000,4,1,0.5,0.880865365326813,-0.21029540883636,0.283938137744829
"clog_mhl1.A1.4.26.3.0.5.52","A1","mhl",20000,4,1,0.5,0.624757290328773,-0.0769610411084207,0.69495810806157
"clog_mhl1.A1.4.26.3.0.5.53","A1","mhl",20000,4,1,0.5,0.139212949524563,0.209091797858559,0.308315072774995
"clog_mhl1.A1.4.26.3.0.5.54","A1","mhl",20000,4,1,0.5,0.0911393183346838,0.287682072451775,0.13189859936863
"clog_mhl1.A1.4.26.3.0.5.55","A1","mhl",20000,4,1,0.5,0.539245436725199,-0.0377403279826579,0.845983544430016
"clog_mhl1.A1.4.26.3.0.5.56","A1","mhl",20000,4,1,0.5,0.104420741577416,0.287682072451776,0.174437582022912
"clog_mhl1.A1.4.26.3.0.5.57","A1","mhl",20000,4,1,0.5,0.583485553140239,-0.0476280489882903,0.827275415114908
"clog_mhl1.A1.4.26.3.0.5.58","A1","mhl",20000,4,1,0.5,0.0357729862945032,0.27698678333503,0.152098949898897
"clog_mhl1.A1.4.26.3.0.5.59","A1","mhl",20000,4,1,0.5,0.458705630096021,0.0400053346134145,0.84149101123672
"clog_mhl1.A1.4.26.3.0.5.60","A1","mhl",20000,4,1,0.5,0.5,0.0377403279826582,0.845983544430015
"clog_mhl1.A1.4.26.3.0.5.61","A1","mhl",20000,4,1,0.5,0.578489011815138,-0.0674412807845326,0.750531127625093
"clog_mhl1.A1.4.26.3.0.5.62","A1","mhl",20000,4,1,0.5,0.718148569174613,-0.141650517063026,0.48209398885106
"clog_mhl1.A1.4.26.3.0.5.63","A1","mhl",20000,4,1,0.5,0.459972190408504,0,1
"clog_mhl1.A1.4.26.3.0.5.64","A1","mhl",20000,4,1,0.5,0.132022651422611,0.191891007810105,0.305748749608688
"clog_mhl1.A1.4.26.3.0.5.65","A1","mhl",20000,4,1,0.5,0.666886177295191,-0.0784716154097516,0.69213644290136
"clog_mhl1.A1.4.26.3.0.5.66","A1","mhl",20000,4,1,0.5,0.752737666058065,-0.167054084663166,0.414758737678743
"clog_mhl1.A1.4.26.3.0.5.67","A1","mhl",20000,4,1,0.5,0.969405387446226,-0.342944751126757,0.081898305424278
"clog_mhl1.A1.4.26.3.0.5.68","A1","mhl",20000,4,1,0.5,0.697936846335416,-0.0741079721324494,0.700376622134103
"clog_mhl1.A1.4.26.3.0.5.69","A1","mhl",20000,4,1,0.5,0.458255953931947,0.0384662808275801,0.844528730553487
"clog_mhl1.A1.4.26.3.0.5.70","A1","mhl",20000,4,1,0.5,0.300089743570277,0.083381608890517,0.683178199528253
"clog_mhl1.A1.4.26.3.0.5.71","A1","mhl",20000,4,1,0.5,0.00112511328404286,0.505935638449159,0.0105048272932057
"clog_mhl1.A1.4.26.3.0.5.72","A1","mhl",20000,4,1,0.5,0.352728493055637,0.0851578082840619,0.680014119133457
"clog_mhl1.A1.4.26.3.0.5.73","A1","mhl",20000,4,1,0.5,0.383768251402795,0.0606246218112159,0.763059800873434
"clog_mhl1.A1.4.26.3.0.5.74","A1","mhl",20000,4,1,0.5,0.278149230637367,0.101096116684638,0.615453012132922
"clog_mhl1.A1.4.26.3.0.5.75","A1","mhl",20000,4,1,0.5,0.540858919486265,-0.0392207131530334,0.84303190650644
"clog_mhl1.A1.4.26.3.0.5.76","A1","mhl",20000,4,1,0.5,0.0828419194565015,0.300104592450327,0.150268080033231
"clog_mhl1.A1.4.26.3.0.5.77","A1","mhl",20000,4,1,0.5,0.655421741610324,-0.0800427076370707,0.689235152099447
"clog_mhl1.A1.4.26.3.0.5.78","A1","mhl",20000,4,1,0.5,0.872991546609843,-0.189241999638529,0.332127231880106
"clog_mhl1.A1.4.26.3.0.5.79","A1","mhl",20000,4,1,0.5,0.100109467622117,0.251314428280905,0.221886271977428
"clog_mhl1.A1.4.26.3.0.5.80","A1","mhl",20000,4,1,0.5,0.539245436725199,-0.0198026272961778,0.92073962600413
"clog_mhl1.A1.4.26.3.0.5.81","A1","mhl",20000,4,1,0.5,0.420740290560897,0.0400053346134146,0.841491011236719
"clog_mhl1.A1.4.26.3.0.5.82","A1","mhl",20000,4,1,0.5,0.807866968145522,-0.189241999638528,0.332127231880106
"clog_mhl1.A1.4.26.3.0.5.83","A1","mhl",20000,4,1,0.5,0.580871756807087,0,1
"clog_mhl1.A1.4.26.3.0.5.84","A1","mhl",20000,4,1,0.5,0.187594276453879,0.18610227963386,0.361508636584902
"clog_mhl1.A1.4.26.3.0.5.85","A1","mhl",20000,4,1,0.5,0.185250990788016,0.174353387144778,0.404843516563164
"clog_mhl1.A1.4.26.3.0.5.86","A1","mhl",20000,4,1,0.5,0.0345110879917281,0.320471895274745,0.101747474254424
"clog_mhl1.A1.4.26.3.0.5.87","A1","mhl",20000,4,1,0.5,0.416514446859761,0.0400053346134147,0.841491011236719
"clog_mhl1.A1.4.26.3.0.5.88","A1","mhl",20000,4,1,0.5,0.814749009211984,-0.175204089025091,0.375799079197272
"clog_mhl1.A1.4.26.3.0.5.89","A1","mhl",20000,4,1,0.5,0.312792615762163,0.103184236019802,0.611840559021208
"clog_mhl1.A1.4.26.3.0.5.90","A1","mhl",20000,4,1,0.5,0.538507216540816,-0.0425596144183574,0.83658104106505
"clog_mhl1.A1.4.26.3.0.5.91","A1","mhl",20000,4,1,0.5,0.163399783834483,0.218689200964829,0.274673645819888
"clog_mhl1.A1.4.26.3.0.5.92","A1","mhl",20000,4,1,0.5,0.0807566592337711,0.253780520776098,0.201426800870046
"clog_mhl1.A1.4.26.3.0.5.93","A1","mhl",20000,4,1,0.5,0.541294369903979,0,1
"clog_mhl1.A1.4.26.3.0.5.94","A1","mhl",20000,4,1,0.5,0.951445138870482,-0.339867825622287,0.0922881644912985
"clog_mhl1.A1.4.26.3.0.5.95","A1","mhl",20000,4,1,0.5,0.688875216523242,-0.0784716154097517,0.69213644290136
"clog_mhl1.A1.4.26.3.0.5.96","A1","mhl",20000,4,1,0.5,0.808633455557387,-0.190043602887865,0.356532527666436
"clog_mhl1.A1.4.26.3.0.5.97","A1","mhl",20000,4,1,0.5,0.956234155561439,-0.333144446528491,0.0954470845607839
"clog_mhl1.A1.4.26.3.0.5.98","A1","mhl",20000,4,1,0.5,0.652556698813763,-0.11247798342669,0.596306314320376
"clog_mhl1.A1.4.26.3.0.5.99","A1","mhl",20000,4,1,0.5,0.426341842167321,0.0202027073175175,0.91994573766698
"clog_mhl1.A1.4.26.3.0.5.100","A1","mhl",20000,4,1,0.5,0.537809146534395,-0.0400053346134148,0.841491011236719
"clog_mhl1.A1.4.55.2.0.1.1","A1","mhl",10000,4,5,0.1,0.357500327344045,0.143100843640673,0.70569643359096
