"","algo","approach","n","n.cova","event.prob","ttm.prob","seed","clog_coef","clog_pval","clog_lower","clog_upper"
"105","A2","exact",20000,1,1,0.1,9,0,1,-0.876522540576581,0.876522540576581
"106","A2","exact",10000,1,10,0.1,7,0.435318071255351,0.260593467376932,-0.323095862607212,1.19373200511791
"107","A2","exact",10000,1,10,0.1,8,0,1,-0.653321328180018,0.653321328180018
"108","A2","exact",10000,1,10,0.1,9,-0.405465108107289,0.374363512135995,-1.30006217996579,0.489131963751211
"109","A1","no_match",20000,1,1,0.1,1,0.107794535893102,0.834618144649408,-0.904136792004438,1.11972586379064
"110","A1","no_match",20000,1,1,0.1,2,-0.189632433805561,0.583862576851548,-0.86817511644902,0.488910248837898
"111","A1","no_match",20000,1,1,0.1,3,-0.174345043930892,0.641445314079797,-0.90813384619026,0.559443758328475
"112","A1","no_match",10000,1,10,0.1,1,0.5751245706798,0.171574981425939,-0.249375104026894,1.39962424538649
"113","A1","no_match",10000,1,10,0.1,2,0.179728490062472,0.679597358936936,-0.67317851654909,1.03263549667403
"114","A1","no_match",10000,1,10,0.1,3,-0.00401368899509386,0.992200473968681,-0.808755825294033,0.800728447303845
"115","A2","no_match",20000,1,1,0.1,1,-0.514090415491631,0.195706211556618,-1.29283126190727,0.264650430924006
"116","A2","no_match",20000,1,1,0.1,2,-0.198090411290267,0.546617034954425,-0.842128484418098,0.445947661837564
"117","A2","no_match",20000,1,1,0.1,3,0.13159448336224,0.736157164761165,-0.633869413188954,0.897058379913434
"118","A2","no_match",10000,1,10,0.1,1,-0.194288421792549,0.580136412458787,-0.882662081324962,0.494085237739863
"119","A2","no_match",10000,1,10,0.1,2,0.553023738715119,0.193981501480134,-0.281462762544465,1.3875102399747
"120","A2","no_match",10000,1,10,0.1,3,-0.572985789799249,0.145657637373047,-1.34480647940424,0.198834899805742
"121","A1","no_match",20000,1,1,0.1,4,0.012999856172125,0.971568589291011,-0.701885420118388,0.727885132462638
"122","A1","no_match",20000,1,1,0.1,5,-0.534631204118942,0.202074298603239,-1.35605271963984,0.286790311401954
"123","A1","no_match",20000,1,1,0.1,6,-0.628373299807756,0.149932280661651,-1.48377967002762,0.227033070412111
"124","A1","no_match",10000,1,10,0.1,4,-6.86081996548304e-17,1,-0.796954768588603,0.796954768588603
"125","A1","no_match",10000,1,10,0.1,5,-0.0524045216455679,0.894852086813567,-0.829533923054242,0.724724879763106
"126","A1","no_match",10000,1,10,0.1,6,0.613400367663061,0.201787486722948,-0.32844508180818,1.5552458171343
"127","A2","no_match",20000,1,1,0.1,4,0.160148597349774,0.682382884579585,-0.606896905298545,0.927194099998092
"128","A2","no_match",20000,1,1,0.1,5,-0.277818456836534,0.549397176965787,-1.18736781031179,0.631730896638717
"129","A2","no_match",20000,1,1,0.1,6,-0.132813781951481,0.768564247939433,-1.01746012383533,0.751832559932371
"130","A2","no_match",10000,1,10,0.1,4,-0.144158413098199,0.73827947650523,-0.989766624223131,0.701449798026734
"131","A2","no_match",10000,1,10,0.1,5,-0.228369898595361,0.554504657197291,-0.985694701900777,0.528954904710055
"132","A2","no_match",10000,1,10,0.1,6,-0.189544970992571,0.625346075740337,-0.950369624236128,0.571279682250986
"133","A1","no_match",20000,1,1,0.1,7,-0.19346030315859,0.616821074414222,-0.951263977776834,0.564343371459653
"134","A1","no_match",20000,1,1,0.1,8,0.349922747918249,0.420844740349373,-0.502093381038229,1.20193887687473
"135","A1","no_match",20000,1,1,0.1,9,0.192652891024071,0.674803297471764,-0.707309623839641,1.09261540588778
"136","A1","no_match",10000,1,10,0.1,7,0.131429873365879,0.720382756387034,-0.58822305352897,0.851082800260729
"137","A1","no_match",10000,1,10,0.1,8,0.33623832621206,0.369507812786101,-0.398125587720689,1.07060224014481
"138","A1","no_match",10000,1,10,0.1,9,-0.879687831244966,0.0701078787805525,-1.8316224841885,0.0722468216985691
"139","A2","no_match",20000,1,1,0.1,7,0.224879718550498,0.564511402609789,-0.540118004393641,0.989877441494637
"140","A2","no_match",20000,1,1,0.1,8,-0.380399682182505,0.296167769851122,-1.09407741911588,0.333278054750867
"141","A2","no_match",20000,1,1,0.1,9,0.0475364667820233,0.910543647201911,-0.781723953779877,0.876796887343924
"142","A2","no_match",10000,1,10,0.1,7,0.126996827710501,0.726457197614216,-0.584493311618723,0.838486967039725
"143","A2","no_match",10000,1,10,0.1,8,0.0424357537874619,0.90643190053402,-0.665172956695148,0.750044464270072
"144","A2","no_match",10000,1,10,0.1,9,-0.650798406133411,0.137394637172727,-1.50942310132338,0.207826289056555
