"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","seed","mh_pval","clog_coef","clog_pval"
"190","counter-matching","A1","mhl",10000,10,5,0.5,3,0.9803944776132,-0.343473432080121,0.0401828567348745
"191","counter-matching","A1","mhl",10000,10,10,0.1,3,0.413629673281356,0.0953101796806682,0.827323681628342
"192","counter-matching","A1","mhl",10000,10,10,0.5,3,0.949910852886866,-0.27193371548364,0.101226719662766
"193","counter-matching","A1","mhl",20000,20,1,0.1,3,0.725746882249926,-0.241162056816887,0.549474018091027
"194","counter-matching","A1","mhl",20000,20,1,0.5,3,0.837410259950836,-0.176456437341557,0.32580699072812
"195","counter-matching","A1","mhl",10000,20,5,0.1,3,0.863339160853851,-0.405465108107289,0.276605237854056
"196","counter-matching","A1","mhl",10000,20,5,0.5,3,0.535079580935388,-0.0155041865359651,0.929841539012334
"197","counter-matching","A1","mhl",10000,20,10,0.1,3,0.725746882249926,-0.241162056816888,0.549474018091027
"198","counter-matching","A1","mhl",10000,20,10,0.5,3,0.5,0,1
"199","counter-matching","A2","mhl",20000,4,1,0.1,3,0.760249938906523,-0.251314428280905,0.480655065297856
"200","counter-matching","A2","mhl",20000,4,1,0.5,3,0.468784350094135,0.0122700925918139,0.937569091026114
"201","counter-matching","A2","mhl",10000,4,5,0.1,3,0.5,0,1
"202","counter-matching","A2","mhl",10000,4,5,0.5,3,0.971890714986233,-0.30616688712587,0.0571841752370553
"203","counter-matching","A2","mhl",10000,4,10,0.1,3,0.5,0,1
"204","counter-matching","A2","mhl",10000,4,10,0.5,3,0.983327233288031,-0.338602162878977,0.0341948296250448
"205","counter-matching","A2","mhl",20000,10,1,0.1,3,0.889664319040077,-0.510825623739934,0.225692595538751
"206","counter-matching","A2","mhl",20000,10,1,0.5,3,0.893559454086118,-0.207639364778244,0.213703071971587
"207","counter-matching","A2","mhl",10000,10,5,0.1,3,0.196884317321496,0.36772478012511,0.396428580594401
"208","counter-matching","A2","mhl",10000,10,5,0.5,3,0.949910852886866,-0.271933715483639,0.101226719662767
"209","counter-matching","A2","mhl",10000,10,10,0.1,3,0.413629673281356,0.0953101796806682,0.827323681628342
"210","counter-matching","A2","mhl",10000,10,10,0.5,3,0.958367741668225,-0.287682072451776,0.0843307846499639
"211","counter-matching","A2","mhl",20000,20,1,0.1,3,0.783616209666108,-0.310154928303823,0.434608975055544
"212","counter-matching","A2","mhl",20000,20,1,0.5,3,0.813500758193256,-0.159064694629687,0.373502231412814
"213","counter-matching","A2","mhl",10000,20,5,0.1,3,0.823419823342006,-0.348306694268123,0.355590512469624
"214","counter-matching","A2","mhl",10000,20,5,0.5,3,0.535354000537185,-0.0157483569681385,0.929292727685613
"215","counter-matching","A2","mhl",10000,20,10,0.1,3,0.725746882249926,-0.241162056816888,0.549474018091027
"216","counter-matching","A2","mhl",10000,20,10,0.5,3,0.569097783475495,-0.0303053494952884,0.861809668075189
"217","matching","A1","ps",20000,4,1,0.1,1,0.5,0,1
"218","matching","A1","ps",20000,4,1,0.5,1,0.121807694164959,0.248461359298499,0.244827932988978
"219","matching","A1","ps",10000,4,5,0.1,1,0.357500327344045,0.133531392624523,0.715203053361471
"220","matching","A1","ps",10000,4,5,0.5,1,0.459141080513735,0.0210534091978292,0.918283664932982
"221","matching","A1","ps",10000,4,10,0.1,1,0.357500327344045,0.133531392624523,0.715203053361471
"222","matching","A1","ps",10000,4,10,0.5,1,0.202124247369736,0.174353387144778,0.404843516563162
"223","matching","A1","ps",20000,10,1,0.1,1,0.814453315238651,-0.405465108107289,0.374363512135995
"224","matching","A1","ps",20000,10,1,0.5,1,0.968312985300135,-0.38776553100831,0.065040804111819
"225","matching","A1","ps",10000,10,5,0.1,1,0.874325445594889,-0.538996500675662,0.257084020049373
"226","matching","A1","ps",10000,10,5,0.5,1,0.738784357519218,-0.136575535005751,0.522754420227275
"227","matching","A1","ps",10000,10,10,0.1,1,0.665092321200292,-0.182321556793954,0.670245265976437
"228","matching","A1","ps",10000,10,10,0.5,1,0.704040168299511,-0.115069329784787,0.59212399072303
"229","matching","A1","ps",20000,20,1,0.1,1,0.901647198770527,-0.693147178402484,0.205689347619243
"230","matching","A1","ps",20000,20,1,0.5,1,0.256345380130962,0.143100843640674,0.513050328830556
"231","matching","A1","ps",10000,20,5,0.1,1,0.725746882249926,-0.241162056816887,0.549474018091027
"232","matching","A1","ps",10000,20,5,0.5,1,0.455210000254901,0.0253178079842786,0.910422382888184
"233","matching","A1","ps",10000,20,10,0.1,1,0.658454300845196,-0.167054084663166,0.683439627231701
"234","matching","A1","ps",10000,20,10,0.5,1,0.544235881045311,-0.0246926125903619,0.911530476279586
"235","matching","A2","ps",20000,4,1,0.1,1,0.815414291833654,-0.325422400434594,0.371281131359037
"236","matching","A2","ps",20000,4,1,0.5,1,0.265807288440806,0.130620182417064,0.531906239222217
"237","matching","A2","ps",10000,4,5,0.1,1,0.423694829843357,0.0741079721324494,0.847424147616718
"238","matching","A2","ps",10000,4,5,0.5,1,0.540858919486265,-0.0210534091978291,0.918283664932983
"239","matching","A2","ps",10000,4,10,0.1,1,0.347443301186237,0.154150679827258,0.69517334211627
"240","matching","A2","ps",10000,4,10,0.5,1,0.177904470656989,0.190043602887865,0.356532527666435
"241","matching","A2","ps",20000,10,1,0.1,1,0.803115682678504,-0.367724780125111,0.396428580594401
"242","matching","A2","ps",20000,10,1,0.5,1,0.986869682941102,-0.456758402490656,0.0275852989258011
"243","matching","A2","ps",10000,10,5,0.1,1,0.766572864588637,-0.356674943938601,0.469210446475963
"244","matching","A2","ps",10000,10,5,0.5,1,0.701943667138338,-0.11247798342669,0.596306314320376
"245","matching","A2","ps",10000,10,10,0.1,1,0.665092321200292,-0.182321556793954,0.670245265976437
"246","matching","A2","ps",10000,10,10,0.5,1,0.805838385510538,-0.186585955580412,0.389011125020727
"247","matching","A2","ps",20000,20,1,0.1,1,0.857475296298694,-0.587786664701256,0.291970300369013
"248","matching","A2","ps",20000,20,1,0.5,1,0.416514446859761,0.0444517625702391,0.833042437514799
"249","matching","A2","ps",10000,20,5,0.1,1,0.783616209666108,-0.310154928303823,0.434608975055545
"250","matching","A2","ps",10000,20,5,0.5,1,0.410423619270964,0.0512932943859305,0.820866543326719
"251","matching","A2","ps",10000,20,10,0.1,1,0.725746882249926,-0.241162056816887,0.549474018091027
"252","matching","A2","ps",10000,20,10,0.5,1,0.630558659818236,-0.0741079721324494,0.738940243765796
"253","counter-matching","A1","ps",20000,4,1,0.1,1,0.295006943581673,0.194156014440958,0.590597399111663
"254","counter-matching","A1","ps",20000,4,1,0.5,1,0.43794802896147,0.0243914531241497,0.875899109389169
"255","counter-matching","A1","ps",10000,4,5,0.1,1,0.28873433121365,0.207639364778244,0.578151716260274
"256","counter-matching","A1","ps",10000,4,5,0.5,1,0.349410820557021,0.0598981415762723,0.698864458471393
"257","counter-matching","A1","ps",10000,4,10,0.1,1,0.361836804915882,0.125163142122991,0.723846518611428
"258","counter-matching","A1","ps",10000,4,10,0.5,1,0.32171442178181,0.0714589639656546,0.643499435159298
"259","counter-matching","A1","ps",20000,10,1,0.1,1,0.767395590773929,-0.268263986594678,0.466545341652668
"260","counter-matching","A1","ps",20000,10,1,0.5,1,0.902817044598445,-0.211309093667207,0.195196059141034
"261","counter-matching","A1","ps",10000,10,5,0.1,1,0.658454300845196,-0.167054084663166,0.683439627231701
"262","counter-matching","A1","ps",10000,10,5,0.5,1,0.85495518090567,-0.172612742666994,0.290688354576977
"263","counter-matching","A1","ps",10000,10,10,0.1,1,0.423694829843357,0.0741079721324495,0.847424147616718
"264","counter-matching","A1","ps",10000,10,10,0.5,1,0.689063287834629,-0.0811255447723081,0.621968962467711
"265","counter-matching","A1","ps",20000,20,1,0.1,1,0.955959244168905,-0.762140043722065,0.0959098091750915
"266","counter-matching","A1","ps",20000,20,1,0.5,1,0.640281227788304,-0.0645385211294861,0.719484172704486
"267","counter-matching","A1","ps",10000,20,5,0.1,1,0.5,0,1
"268","counter-matching","A1","ps",10000,20,5,0.5,1,0.693955059955372,-0.0857668216983057,0.612198909016399
"269","counter-matching","A1","ps",10000,20,10,0.1,1,0.413629673281356,0.0953101796806683,0.827323681628342
"270","counter-matching","A1","ps",10000,20,10,0.5,1,0.534549382479811,-0.0150378773645404,0.930901884482633
